!SIL sil
<UNK> spn
żal	Z a l
okazując	o k a z u j oc5 c
wspomina	v s p o m i n a
perspektywę	p e r s p e k t i2 v e
plecach	p l e c a h
płaczu	p w a tS u
10	s t o
biblioteki	b i b l j o t e k i
ucierpiałaby	u tsj e r p i a w a b i2
ścianę	sj tsj a n e
wyraz	v i2 r a z
wielkich	v i e l k i h
prawej	p r a v e j
zamyślił	z a m i2 sj l j w
zmusza	z m u S a
piasku	p i a s k u
oznajmia	o z n a j m i a
podstawy	p o d s t a v i2
śmieszną	sj m i e S n oc5
ściągał	sj tsj oc5 g a w
m.in	m i n
stalowej	s t a l o v e j
nadziei	n a dzj e i
bycia	b i2 tsj a
młodzieży	m w o dzj e Z i2
obalił	o b a l j w
pasji	p a s j i
podobnymi	p o d o b n i2 m i
ociąga	o tsj oc5 g a
stwierdzam	s t f i e r dz a m
godzin	g o dzj i n
odpowiedź	o d p o v i e dzj
checzy	h e tS i2
dużej	d u Z e j
lubisz	l u b i S
łosich	w o sj i h
